MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU442023268418,천안서북소방서,두정119안전센터,우리끼리키즈카페스포츠마을천안두정점,키즈카페업,20230201201339,20230201,201339,2023,02,01,,20221219,20230201,,충청남도 천안시 서북구 두정동 ,1공단1길,,콘크리트. 방화석고보드,456.0,,,지상4층,,양식(옥),철근콘크리트조,,Y
MU412023938049,용인소방서,동백119안전센터,스타벅스 용인언남점,휴게음식점,20230315143629,20230315,143629,2023,03,15,근린생활시설,20230112,20230201,,경기도 용인시 기흥구 언남동 ,구성로,,금속. 유리. 콘크리트. 타일. 방화석고,1489.0,합판(도료) 56.89 / 선처리(필름) 4.08,60.0,0/2,,양식(옥),철근콘크리트조,Y,Y
MU412023938002,안산소방서,반월119안전센터,귤링시대,일반음식점,20230202001902,20230202,001902,2023,02,02,근린생활시설,20221227,20230202,,경기도 안산시 단원구 원곡동 ,원곡로,근생주택,방화석고.조적.타일.유리,397.0,방염필름,2.0,0/4,,양식(옥),철근콘크리트조,,Y
MU412023938001,안산소방서,반월119안전센터,심다방,휴게음식점,20230202001950,20230202,001950,2023,02,02,,20230112,20230202,,경기도 안산시 단원구 원곡동 ,원곡1로,브니엘교회,콘크리트.방화석고,280.0,미사용,,1/3,,양식(옥),철근콘크리트조,,Y
MU312009000349,남부소방서,무거119안전센터,후,유흥주점,20230202092816,20230202,092816,2023,02,02,위락시설,,20000119,,울산광역시 남구 무거동 ,대학로147번길,유성골프연습장,,,,,1,영웅 노래주점,조립식,철골조,,Y
MU282023231869,계양소방서,장기119안전센터,도원,일반음식점,20230202092441,20230202,092441,2023,02,02,,20221223,20230126,,인천광역시 계양구 귤현동 ,양지로,,방화석고.콘크리트.타일.유리,296.0,후처리(도료.제2023-1호),29.0,지하 1층/지상 4층,,양식(옥),철근콘크리트조,,Y
MU442023268424,홍성소방서,옥암119안전센터,자연드림식탁,일반음식점,20230202111340,20230202,111340,2023,02,02,,20230105,20230202,,충청남도 홍성군 홍성읍 오관리,내포로,,목재. 천,130.0,방염필름. 블라인드,130.0,1 / 3,,양식(옥),철근콘크리트조,Y,Y
MU412023938052,,,롤링파스타 수원성균관대점,일반음식점,20230202125523,20230202,125523,2023,02,02,근린생활시설,20230109,20230131,,경기도 수원시 장안구 율전동 ,서부로,율전빌딩,석고.유리.타일,325.0,도료/필름,40.0,1/4,,양식(옥),철근콘크리트조,,Y
MU472023240682,포항남부소방서,해도119안전센터,black,단란주점,20230202121749,20230202,121749,2023,02,02,근린생활시설,20221202,20230202,,경상북도 포항시 남구 상도동 ,상대로,,석고보드. 타일. 유리,415.0,방염필름,9.0,2,김성만 건물  - 김성만 건물 동,양식(옥),철골조,,Y
MU412023938035,안산소방서,사동119안전센터,고기혁명 안산상록점,일반음식점,20230202135715,20230202,135715,2023,02,02,,20230119,20230202,,경기도 안산시 상록구 사동 ,석호로,,유리.방화석고.조적,302.0,미사용,0.0,지하0/지상4,,양식(옥),철근콘크리트조,,Y
MU412023938060,송탄소방서,신장119안전센터,79수육국밥송탄본점,일반음식점,20230202202844,20230202,202844,2023,02,02,,20230120,20230202,,경기도 평택시 서정동 ,관광특구로,,방화석고. 콘크리트. 유리. 금속. 타일,1352.0,방염필름(문짝. 문틀. 벽체장식. 띠장. 붙박이의자. 입구틀. 장식벽체),121.0,1/3,,양식(옥),철근콘크리트조,,Y
MU412023938219,일산소방서,문화119안전센터,초이다이닝 킨텍스점,일반음식점,20230213093712,20230213,093712,2023,02,13,,20230206,20230213,,경기도 고양시 일산서구 대화동 ,호수로,,방화석고보드. 석고보드. 타일,360.0,-,,5/9,,양식(옥),철골철근콘크리트조,,Y
MU422023232311,원주소방서,기업119안전센터,하남돼지집,일반음식점,20230213094229,20230213,094229,2023,02,13,,20230104,20230213,,강원특별자치도 원주시 지정면 가곡리,무릉로,,석고보드(일반.방화). 유리. 타일. 우레탄폼. 알루미늄판넬,360.0,,,지하0/지상7,,양식(옥),철근콘크리트조,,Y
MU422023232630,원주소방서,단구119안전센터,치악스포츠용품,가상체험체육시설(스크린골프연습장),20230213095350,20230213,095350,2023,02,13,,20220407,20230213,,강원특별자치도 원주시 단구동 ,단관공원길,,방화석고보드,3982.0,카페트. 스크린. 방염필름(552.94㎡),552.0,0/3,,양식(옥),철근콘크리트조,,Y
MU422023232633,양양소방서,양양119안전센터,지디알(GDR)아카데미(조이스크린골프),가상체험체육시설(스크린골프연습장),20230213102736,20230213,102736,2023,02,13,근린생활시설,20230112,20230213,,강원특별자치도 양양군 양양읍 구교리,군청길,,석고보드. 준불연직물. 유리. 타일,859.0,방염필름,70.0,0/3,조이헬스클럽&스크린골프 - 조이헬스(조이스크린골프)동,양식(옥),철골조,,Y
MU422023232634,홍천소방서,팔봉119안전센터,비발디스크린,가상체험체육시설(스크린골프연습장),20230213105104,20230213,105104,2023,02,13,근린생활시설,20230118,20230213,,강원특별자치도 홍천군 서면 굴업리,한서로,,석고보드.유리. 방화석고보드,386.0,방염필름. 카페트. 스크린,69.0,지상1층,,기타 식,철골조,,Y
MU412023938235,,,스타벅스 양주덕정역DT점,휴게음식점,20230213174330,20230213,174330,2023,02,13,근린생활시설,20230113,20230213,,경기도 양주시 덕정동 ,독바위로,,콘크리트.석고.유리.타일,1002.0,선처리(방염필름),84.0,0/2,,양식(옥),철근콘크리트조,Y,Y
MU482023384634,진주소방서,상대119안전센터,빅마마7080라이브,단란주점,20230213180216,20230213,180216,2023,02,13,복합건축물,20230203,20230213,,경상남도 진주시 상대동 ,동진로,,석고보드. 유리,237.0,합판방염도료.선처리MDF방염필름,50.0,지상3층,,양식(옥),철근콘크리트조,,Y
MU282023231898,공단소방서,동춘119안전센터,송쭈집,일반음식점,20230213180847,20230213,180847,2023,02,13,,20220921,20230213,,인천광역시 연수구 동춘동 ,경원대로119번길,풍림2차아파트,방화석고. 유리. 석고보드. 콘크리트. 타일,607.0,합판(필름),104.0,1/2,풍림2차아파트상가 - 풍림2차아파트상가2동,양식(옥),철근콘크리트조,,Y
